Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Kevin McCullar,15,SR,G,6-6,205,San Antonio TX,Wagner HS,,19.8 Pts 6.4 Reb 4.7 Ast
Hunter Dickinson,1,SR,C,7-1,255,Alexandria VA,DeMatha Catholic HS,37 (2020),18.7 Pts 11.2 Reb 2.0 Ast
KJ Adams,24,JR,F,6-7,225,Austin TX,Westlake HS,66 (2021),12.8 Pts 4.8 Reb 3.3 Ast
Johnny Furphy,10,FR,G,6-9,202,Melbourne Australia,Centre of Excellence (Australia),,8.1 Pts 3.9 Reb 0.6 Ast
Dajuan Harris,3,JR,G,6-1,160,Columbia MO,Rock Bridge HS,,7.4 Pts 2.0 Reb 6.9 Ast
Elmarko Jackson,13,FR,G,6-3,195,Marlton NJ,St. Augustine Prep (NJ); Academy of the New Church (PA); South Kent School (CT),20 (2023),4.7 Pts 1.4 Reb 2.1 Ast
Nicolas Timberlake,25,SR,G,6-4,200,Braintree MA,Kimball Union HS,,3.8 Pts 1.5 Reb 0.5 Ast
Parker Braun,23,SR,F,6-8,217,Overland Park KS,Blue Valley Northwest HS,,2.5 Pts 1.8 Reb 0.4 Ast
Jamari McDowell,11,FR,G,6-4,180,Houston TX,Manvel (TX),,1.8 Pts 1.2 Reb 0.5 Ast
Michael Jankovich,20,SR,G,6-5,185,Dallas TX,Northfield Mount Hermon School (MA),,3.4 Pts 0.6 Reb 0.0 Ast
Wilder Evers,12,SO,G,6-3,190,Birmingham AL,Oak Mountain (AL),,1.3 Pts 0.7 Reb 0.3 Ast
Dillon Wilhite,22,SO,F,6-9,240,San Diego CA,Cathedral Catholic HS,,0.8 Pts 0.5 Reb 0.0 Ast
Patrick Cassidy,14,JR,G,6-1,185,Columbus KS,Columbus Unified (KS),,0.0 Pts 0.0 Reb 0.0 Ast
Chris Carter,5,FR,G,6-4,,,,,
Zach Clemence,41,JR,F,6-11,,,,43 (2021),
Justin Cross,4,JR,G,6-8,,,,,
