Rk,Player,Class,Pos,School,G,MinPlayed,RB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,FTPercent
1,Max Abmas,SR,G,Texas,21,741,61,90,19,1,51,49,372,0.45,0.521,0.399,0.883
2,KJ Adams Jr.,JR,F,Kansas,21,688,100,69,22,14,38,50,268,0.634,0.642,0.0,0.605
3,Marcus Adams Jr.,FR,F,Brigham Young,1,8,2,1,0,0,0,2,2,0.167,0.333,0.0,
4,Akok Akok,SR,F,West Virginia,14,235,45,6,0,18,7,13,61,0.5,0.606,0.294,0.545
5,Shemarri Allen,SR,G,Central Florida,18,518,73,47,35,13,35,42,129,0.371,0.416,0.226,0.6
6,Atiki Ally Atiki,JR,F,Brigham Young,17,221,60,7,7,12,14,48,77,0.607,0.63,0.0,0.529
7,Dai Dai Ames,FR,G,Kansas State,18,350,17,37,11,0,32,26,87,0.295,0.339,0.231,0.71
8,Alex Anamekwe,SO,F,Texas,5,8,2,0,0,0,1,1,2,0.0,,0.0,1.0
9,Avery Anderson III,SR,G,TCU,21,468,45,78,30,6,43,58,187,0.458,0.532,0.273,0.833
10,CJ Anthony,JR,G,Cincinnati,6,23,7,2,1,0,1,1,15,0.308,0.4,0.25,0.833
11,Terrance Arceneaux,SO,G,Houston,11,201,50,8,10,6,4,13,60,0.386,0.444,0.286,0.526
12,Marchelus Avery,SR,F,Central Florida,18,375,77,13,13,8,15,22,169,0.403,0.417,0.389,0.658
13,Dawson Baker,JR,G,Brigham Young,4,40,3,6,3,0,3,3,20,0.563,0.583,0.5,
14,Aziz Bandaogo,SO,C,Cincinnati,13,315,108,10,6,18,12,33,96,0.63,0.635,0.5,0.574
15,Raequan Battle,SR,F,West Virginia,11,295,46,8,15,5,21,29,173,0.403,0.488,0.269,0.785
16,Jeremiah Bembry,FR,G,West Virginia,8,26,4,3,0,0,1,3,0,0.0,0.0,,0.0
17,Omaha Biliew,FR,F,Iowa State,16,126,23,5,6,1,6,17,45,0.583,0.636,0.0,0.63
18,Cole Bott,SO,F,Texas,2,3,1,0,0,0,1,0,0,0.0,,0.0,
19,Parker Braun,SR,F,Kansas,21,171,38,8,6,15,9,23,52,0.697,0.778,0.333,0.667
20,Jalen Bridges,SR,F,Baylor,20,582,94,35,14,15,14,29,214,0.444,0.533,0.372,0.853
21,Devan Cambridge,SR,G,Texas Tech,8,208,36,9,5,7,9,19,84,0.527,0.636,0.091,0.694
22,Camryn Carter,JR,G,Kansas State,21,747,100,58,34,16,60,56,331,0.408,0.484,0.315,0.831
23,Patrick Cassidy,JR,G,Kansas,2,6,0,0,0,0,0,1,0,0.0,0.0,0.0,
24,Weston Church,SR,G,Oklahoma State,4,6,1,0,1,0,2,0,2,0.333,0.5,0.0,0.0
25,Preston Clark,FR,F,Texas,2,2,0,0,0,0,0,0,0,0.0,,0.0,
26,Jerrell Colbert,SO,C,Kansas State,18,179,36,5,5,21,11,32,51,0.563,0.563,,0.625
27,JaKobe Coles,JR,F,TCU,18,381,75,30,14,8,22,37,172,0.476,0.529,0.341,0.759
28,Kaden Cooper,FR,G,Oklahoma,11,48,8,0,0,0,2,4,17,0.417,0.429,0.4,0.625
29,Xavier Cork,SR,F,TCU,21,271,54,13,3,10,27,21,89,0.673,0.673,,0.714
30,LJ Cryer,SR,G,Houston,21,670,55,40,24,2,16,33,318,0.4,0.431,0.378,0.889
31,Brock Cunningham,SR,F,Texas,21,492,88,54,24,11,22,63,93,0.369,0.438,0.327,0.933
32,Eric Dailey Jr.,FR,F,Oklahoma State,21,509,107,39,19,2,25,41,205,0.491,0.574,0.273,0.561
33,Le'tre Darthard,SR,G,Oklahoma,21,469,33,16,14,3,14,24,126,0.365,0.483,0.326,0.7
34,Rayj Dennis,SR,G,Baylor,20,637,74,134,25,1,64,47,264,0.491,0.538,0.362,0.688
35,Cole Despie,JR,G,TCU,7,8,0,1,0,0,0,2,2,0.0,0.0,0.0,1.0
