Rk,School,ConfW,ConfL,ConfWL,OverallW,OverallL,OverallWL,PTSPerGOwn,PTSPerGOpp,SRS,SOS
1,Houston,6,2,.750,19,2,.905,74.0,52.9,27.9,6.7
2,Iowa State,5,2,.714,16,4,.800,80.5,61.8,22.6,3.9
2,Texas Tech,5,2,.714,16,4,.800,77.2,68.1,15.1,6.0
4,Kansas,5,3,.625,17,4,.810,79.2,67.6,18.7,7.9
4,TCU,5,3,.625,16,5,.762,83.7,70.9,16.6,3.8
6,Baylor,4,3,.571,15,5,.750,84.7,71.0,20.1,7.0
7,Oklahoma,4,4,.500,16,5,.762,78.3,65.9,16.9,4.5
7,Kansas State,4,4,.500,14,7,.667,72.0,68.4,10.8,7.1
9,Brigham Young,3,4,.429,15,5,.750,84.4,65.7,23.9,5.3
10,Cincinnati,3,5,.375,14,7,.667,77.0,66.6,15.7,5.3
10,Texas,3,5,.375,14,7,.667,76.6,68.2,14.5,6.2
10,Central Florida,3,5,.375,12,8,.600,71.8,65.1,11.7,5.0
10,West Virginia,3,5,.375,8,13,.381,68.3,72.2,4.9,8.8
14,Oklahoma State,1,7,.125,9,12,.429,71.0,70.1,5.4,4.5
